[INFO][main][2018-03-28 17:24:14][us.codecraft.webmagic.Spider] - Spider mm.taobao.com started!
 [INFO][pool-1-thread-1][2018-03-28 17:24:15][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/json/request_top_list.htm?page=1
 [INFO][pool-1-thread-7][2018-03-28 17:24:21][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/json/request_top_list.htm?page=7
 [INFO][pool-1-thread-5][2018-03-28 17:24:21][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/json/request_top_list.htm?page=5
 [INFO][pool-1-thread-9][2018-03-28 17:24:21][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/json/request_top_list.htm?page=9
 [INFO][pool-1-thread-3][2018-03-28 17:24:21][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/json/request_top_list.htm?page=3
 [INFO][pool-1-thread-1][2018-03-28 17:24:21][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/json/request_top_list.htm?page=11
 [INFO][pool-1-thread-6][2018-03-28 17:24:21][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/json/request_top_list.htm?page=6
 [INFO][pool-1-thread-10][2018-03-28 17:24:21][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/json/request_top_list.htm?page=10
 [INFO][pool-1-thread-2][2018-03-28 17:24:21][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/json/request_top_list.htm?page=2
 [INFO][pool-1-thread-8][2018-03-28 17:24:21][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/json/request_top_list.htm?page=8
 [INFO][pool-1-thread-4][2018-03-28 17:24:21][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/json/request_top_list.htm?page=4
 [INFO][pool-1-thread-7][2018-03-28 17:24:26][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/json/request_top_list.htm?page=12
 [INFO][pool-1-thread-2][2018-03-28 17:24:27][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/json/request_top_list.htm?page=20
 [INFO][pool-1-thread-5][2018-03-28 17:24:27][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/json/request_top_list.htm?page=13
